leirikeskus;action center
ilta-ateria;evening meal
linnan kuva;picture of a castle
eväät;a packed lunch
jännittäviä varusteita;exciting equipment
uusi ennätys;new record
kalliokiipeily;rock climbing
suuri määrä rohkeutta;a lot of bravery
kuulua joukkueeseen;belong to a team
yrittää rohkaista;try to encourage
kohdata pelkomme;face our fear
tarvita paljon energiaa;need a lot of energy
teeskennellä rohkeaa;pretend to be brave
tehdä nuotio;make a campfire
harrastaa valokuvausta;be into photography
osallistua toimintoihin;participate in activities
tuntea olonsa tyhmäksi;feel stupid
pitää meidät liikkeellä;keep us moving
muuttaa kaiken;make a difference
aloittaa uusi harrastus;start a new hobby
pelätä kuollakseen;be scared to death
kaikenlaisia ihmisiä;many types of people
hyvällä tuulella;be in a good mood
paljon tekemistä;a lot to do
alkuilta;early evening
aamulla;in the morning
iltapäivällä;in the afternoon
ennen toista ryhmää;before the other group
