lemmikkieläin, kotieläin;ett husdjurn, husdjuret, husdjur, husdjuren
lintu; en fågel, fågeln, fåglar, fåglarna
koira; en hund, hunden, hundrar, hundrarna
kissa; en katt, katten, katter, katterna
hamsteri; en hamster, hamstern, hamstrar, hamstrarna
kani; en kanin, kaninen, kaniner, kaninerna
rotta; en råtta, råttan, råttot, råttorna
porsas; en gris, grisen, grisar, grisarna
hevonen; en häst, hästen, hästar, hästarna
lehmä; en ko, kon, kor, korna
kana; en höna, hönan, hönor, hönorna
lammas; ett får, fåret, får, fåren
